User,Screen_Name,Date,Tweet,Retweet,Favorite
2272691252,jen_jen67,2015-07-23 20:04:56,"``` ``` perfect, ``` ``` fruit accept ``` reject! #FEWERwaste",2,0
2446171722,kmoneygotpesos,2015-07-23 20:04:15,"""accept ``` reject"" #FEWERwaste",2,0
1418503470,loreee____,2015-07-23 20:02:27,RT @jen_jen67: 1.3billion tons ``` food produced ``` human consumption annually ``` wasted! Eat ``` ``` hot dog! @BioMASSlab #NationalHotDo…,3,0
2272691252,jen_jen67,2015-07-23 20:01:40,1.3billion tons ``` food produced ``` human consumption annually ``` wasted! Eat ``` ``` hot dog! @BioMASSlab #NationalHotDogDay #FEWERwaste,3,0
3378781912,ay__arnold,2015-07-23 20:00:54,Excessive food waste ``` ``` ``` bad ``` excessive food consumption #FEWERwaste @BioMASSlab @FLOTUS,1,0
3198983039,AidanLiao,2015-07-23 19:57:05,@BioMASSlab Food waste ``` ``` ``` include consumer ``` postharvest waste. ``` ``` ``` pay attention ``` food supply chain #FEWERwaste,2,0
1418503470,loreee____,2015-07-23 19:55:16,``` eat ```. #FEWERwaste,1,0
350851344,waves0107,2015-07-23 19:53:10,"@BioMASSlab ``` ``` ``` Food ``` ``` ``` ```, ``` ``` ``` ``` ``` ``` Food #FEWERwaste",2,0
350851344,waves0107,2015-07-23 19:50:54,"@BioMASSlab 40% ``` worlds food ``` 100'``` ``` acres ``` travel, lets travel ``` ``` road #FEWERwaste",1,0
1418503470,loreee____,2015-07-23 19:49:04,"Food ``` life, dont waste ```. #FEWERwaste",1,0
3378781912,ay__arnold,2015-07-23 19:47:28,Food ``` life. ``` ``` waste food ```'``` ``` wasting ``` life. #FEWERwaste @BioMASSlab,1,0
1418503470,loreee____,2015-07-23 19:46:57,``` 97% ``` food waste generated ends ``` ``` ``` landfill.  #FEWERwaste,2,3
3378781912,ay__arnold,2015-07-23 19:46:19,``` ``` ``` generation ``` ``` ``` ``` aware ``` ``` impact ``` ``` planet. ``` ``` ``` ``` live ``` Earth 2.0 #FEWERwaste #Kepler @BioMASSlab,1,0
1418503470,loreee____,2015-07-23 19:45:39,"``` ``` plate ```, eat ```. ``` waste ```.  #FEWERwaste @BioMASSlab",3,0
2446171722,kmoneygotpesos,2015-07-23 19:43:59,RT @loreee____: ``` ``` ``` 40% ``` finish ``` hotdog #FEWERwaste #NationalHotDogDay @BioMASSlab,2,0
1418503470,loreee____,2015-07-23 19:43:43,``` ``` ``` 40% ``` finish ``` hotdog #FEWERwaste #NationalHotDogDay @BioMASSlab,2,0
350851344,waves0107,2015-07-23 19:41:31,RT @BioMASSlab: Join ``` ideation ``` ``` RAP 2015 ABE crew... Food-Energy-Water Nexus #FEWERwaste,2,0
70758531,BioMASSlab,2015-07-23 19:40:54,Join ``` ideation ``` ``` RAP 2015 ABE crew... Food-Energy-Water Nexus #FEWERwaste,2,2
1418503470,loreee____,2015-07-23 19:39:10,``` 60% ``` food produced ``` ``` consumed  #FEWERwaste,2,0
