User,Screen_Name,Date,Tweet,Retweet,Favorite
1173779082,brynapizzo,2015-07-22 22:18:01,RT @nicolemmccann: .@LastWeekTonight nails it once again about #foodwaste - Watch JO destroy myths http://t.co/CgdrB9WnJt http://t.co/KIWfD…,2,0
356887575,medterabs,2015-07-22 22:15:07,RT @FAOKnowledge: #DYK Every yr around the globe 1.3B tonnes of food is lost or wasted? Infographic: http://t.co/lnQb8skbvt #foodwaste http…,55,0
3340457561,FoodForAllUNC,2015-07-22 22:09:29,RT @CivilEats: Watch John Oliver's sobering look at American #foodwaste on #LastWeekTonight http://t.co/8jN3xT8BUi http://t.co/FZS2RYBN23,51,0
560203297,giusepri,2015-07-22 22:08:37,RT @fondieuropei20: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/inV2k…,2,0
2307971186,stefan_kraft,2015-07-22 22:05:49,"RT @Greenpeace: Watch #JohnOliver point out why #foodwaste is nuts, and a serious issue in the U.S
http://t.co/TMMf7as1WY http://t.co/zZtQ7…",100,0
2404393300,FoodSecureBorno,2015-07-22 22:03:17,RT @FAOKnowledge: #DYK Every yr around the globe 1.3B tonnes of food is lost or wasted? Infographic: http://t.co/lnQb8skbvt #foodwaste http…,55,0
1627810032,lindaleedonahue,2015-07-22 22:00:11,"RT @FoodShift: Fighting #foodwaste and #climatechange with cosmetically challenged and imperfect produce. via @KQEDnews
http://t.co/jkgF5eb…",6,0
805141508,NRDCFood,2015-07-22 22:00:05,.@NRDC Senior Food &amp; Ag expert Joanne Berkenkamp talks #foodwaste from farm to fork: http://t.co/m7N03i5m1L,0,0
229089974,SilvanaDenicolo,2015-07-22 22:00:00,RT @fondieuropei20: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/inV2k…,2,0
1436271282,ZHCommunity,2015-07-22 21:58:55,Food loss @ this degree is unacceptable when so many are hungry #ThereISaidIt Lets stop #foodwaste  https://t.co/xxLrBPODvN,0,1
1022721666,NFESH1,2015-07-22 21:55:34,"RT @EnidBorden: Thanks to @WalmartGiving, NFESH is expanding #WhatAWaste http://t.co/NeiH6cZzs0 Let's end #FoodWaste to #SolveSeniorHunger",0,1
501000826,Foodcloudire,2015-07-22 21:54:42,RT @WeAreObeo: Who you callin' ugly? Join the campaign to end food waste now! : @TreeHugger http://t.co/27RBrILTI5 #UglyFruit #FoodWaste,1,0
3255989605,ttsolidwastevan,2015-07-22 21:54:33,How to solve the #foodwaste problem according to some Canadians. http://t.co/X33gDVq1VD,0,1
439497744,FoodShift,2015-07-22 21:53:05,"Fighting #foodwaste and #climatechange with cosmetically challenged and imperfect produce. via @KQEDnews
http://t.co/jkgF5ebXux",6,9
2352964938,Heikal_Amr,2015-07-22 21:46:57,"We throw away too much #food  http://t.co/01DV3Xavt3 [Video] 
#foodwaste = #moneywaste http://t.co/dCJKsmGMiC",0,1
558835171,GAINExecDir,2015-07-22 21:45:20,Ending #foodloss &amp; #foodwaste is essential to tackle both hunger &amp; #climatechange http://t.co/mD0uxWjpFS,0,4
1025169505,fondieuropei20,2015-07-22 21:38:33,#Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/inV2kfHQUA,2,1
344831740,CSR_RT,2015-07-22 21:35:52,RT @ Another colorful morning in the #garden! #compost #sustainability #foodwaste #organic #ecofriendly… https://http://t.co/RtQtnZEcWN,0,1
1708142762,DarQurat,2015-07-22 21:34:05,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
281233177,jeremy_inscho,2015-07-22 21:31:35,1/3 of food is wasted while millions go hungry. End supermarket #FoodWaste #stopdumping http://t.co/EqkjmlBqxz https://t.co/PSaVAmKftH,0,1
3002717892,olisokitchen,2015-07-22 21:27:55,RT @Food52: Cut down on #foodwaste in your home. Use produce before it expires with this chart: http://t.co/RVrW3WB99v http://t.co/4TemAQEo…,124,0
3068537205,SMARTRecycle_US,2015-07-22 21:23:41,RT @GreenCircleNC: @DoYouCompost_SC teamed up w/ @ECUDining 2 keep #FoodWaste out of the #LandFill @wolfapproved @realbiteRD @ncstatedining…,2,0
411787173,B3dge,2015-07-22 21:23:03,"RT @HazelTechUSA: New preview video from the media team for #FruitBrite prototype - check it out!
https://t.co/l2BurVLZL6 …

#innovation #f…",3,0
966412436,asc_sv,2015-07-22 21:21:44,RT @ZeroHunger: How cutting #foodwaste could help the climate | Zero Hunger Challenge http://t.co/XKPe6NtG8Q #zerowaste #zerohunger http://…,13,0
3068537205,SMARTRecycle_US,2015-07-22 21:21:27,Heartbreaking photos of what today's food system is doing to the planet - farm to #foodwaste. http://t.co/JnTigVwfYy http://t.co/SaB7l6ksyz,0,2
111783568,coolmomorg,2015-07-22 21:21:01,MT @grist: Don't toss your leftover greens. Turn them into “meatballs” http://t.co/DpCvGBcSCd #ClimateMoms #CoolMoms #foodwaste,0,1
821511038,IanAnd58,2015-07-22 21:20:25,RT @CompostExpress: Another colorful morning in the #garden! #compost #sustainability #foodwaste #organic #ecofriendly… https://t.co/gEm6X1…,1,0
42294922,peterlfoster,2015-07-22 21:20:21,RT @LordsEUCom: EU Cmttee issues first ever #EUGreenCard on #FoodWaste: http://t.co/SVAWLkgcIc,15,0
153535919,FoodAdvocatesTN,2015-07-22 21:19:02,Time to stop wasting food while thousands of families in #MiddleTN are #foodinsecure. #foodwaste What are your ideas? http://t.co/KJjh1ED7bb,0,1
1927208604,EricTChappell,2015-07-22 21:15:57,Pretty cool that @LastWeekTonight did a show that lines up perfectly with my Masters Project on #foodwaste http://t.co/MaObMnFQ4G,0,1
28884994,mollie11,2015-07-22 21:15:40,RT @ABFoodBanks: #FoodWaste at record levels as other Canadians go hungry http://t.co/w7NLizdz2j http://t.co/0eBaU8JcIz,7,0
2615926387,jterrenzio,2015-07-22 21:15:31,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1708738633,simple8job,2015-07-22 21:08:24,RT @footprintmedia: Third of food calories produced are never eaten says @CGF_The_Forum http://t.co/jTPG3aTHtT #foodwaste,2,0
93644918,FFreezerDirect,2015-07-22 21:07:13,RT @footprintmedia: Third of food calories produced are never eaten says @CGF_The_Forum http://t.co/jTPG3aTHtT #foodwaste,2,0
41360113,SustainableUofT,2015-07-22 21:02:03,Looking for the best deal might actually cost you #money! 1 researcher looks at #foodwaste: http://t.co/4o8PQCdlzs http://t.co/Me3OKCF8uk,0,1
1236181832,Sustainable_Di,2015-07-22 21:01:46,RT @HowGoodRatings: 30 #recipes to reduce kitchen waste: awesome tips for fighting #foodwaste! http://t.co/lMsyqcekbs via @Food52 http://t.…,2,0
291758821,HowGoodRatings,2015-07-22 21:01:30,30 #recipes to reduce kitchen waste: awesome tips for fighting #foodwaste! http://t.co/lMsyqcekbs via @Food52 http://t.co/sENWktlBU7,2,5
805141508,NRDCFood,2015-07-22 21:00:25,Throwing $165 billion in the trash: John Oliver puts #foodwaste on blast http://t.co/odO9vAOzV4 @takepart @lastweektonight,0,1
2910655095,WelspunComforts,2015-07-22 20:55:34,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
175635804,vanezo,2015-07-22 20:51:38,Entertaining and accurate.  #foodwaste is a crime in many countries including #canada https://t.co/064vr9xh8q,0,1
2383200176,MySpoilerAlert,2015-07-22 20:51:36,“Food Insecurity Is More Common Than You Think” via @takepart #foodsecurity #foodwaste http://t.co/aJiB6yZbyu,0,1
2445657655,safthelaf,2015-07-22 20:51:13,"next steps for UK #foodwaste policy: waste reduction, innovation and anaerobic digestion http://t.co/XX3bNvRU6b",0,1
3027754947,KatiePNutrition,2015-07-22 20:49:37,RT @ZeroHunger: How cutting #foodwaste could help the climate | Zero Hunger Challenge http://t.co/XKPe6NtG8Q #zerowaste #zerohunger http://…,13,0
1701854245,Tellas2012,2015-07-22 20:47:51,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2814999974,yapfilm,2015-07-22 20:43:29,"#JohnOliver needs to do more of these PSA type bits
http://t.co/IgRjdYPov4 #foodwaste",0,1
56110512,abuwalidtt,2015-07-22 20:42:57,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2775600778,angusenvironews,2015-07-22 20:42:42,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
389110001,djillk1,2015-07-22 20:42:19,"RT @Ron_Taylor73: In a society so rich in resources, it is unacceptable for anyone to go hungry #donate ... stop #foodwaste  https://t.co/N…",6,0
36679666,ABFoodBanks,2015-07-22 20:41:27,"RT @Ron_Taylor73: In a society so rich in resources, it is unacceptable for anyone to go hungry #donate ... stop #foodwaste  https://t.co/N…",6,0
2221108849,KongoKonga,2015-07-22 20:41:09,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2579123514,Musketaid,2015-07-22 20:40:16,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
514378008,Julie66710500,2015-07-22 20:39:59,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
485289187,WasteMINZ,2015-07-22 20:37:02,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1541668332,GenZingg,2015-07-22 20:36:56,RT @BuyMeBy: help @GenZingg fight #foodwaste in #Canada http://t.co/OTSaBUc3uj #stopfoodwaste #climatechange,1,0
172491631,SlowCookRecipes,2015-07-22 20:36:28,Trying to figure out what to do with those citrus peels? Follow the link for #foodinspiration #foodwaste #food http://t.co/eR9UvhE8eC,0,2
