Word,Frequency
asking,2
foo,2
pickling,2
pls,3
plz,2
losing,2
post,31
bywatersuk,2
tucoltd,2
//t.co/,13
//t.co/wewzcil8cg,4
gleaning,2
//t.co/svawlkgcic,15
'social,2
commit,8
sept,3
digestion,5
wasting,29
obscene,2
ppl,2
thankful,2
donated,2
wrap,4
reducing,50
support,11
fight,9
splash,3
way,53
jane,2
food_not_waste,2
war,3
lowest,3
head,3
offer,4
ecoherohunter,2
//t.co/95zhwsihxg,35
eatlocal,3
hear,2
true,9
congratulations,6
prevents,2
ouishareuk,3
//t.co/v4wtm6pnsl,3
//t.co/lze4atvjtm,2
proud,6
toss,2
covers,3
check,54
shit,3
earthshare,4
nh,5
nysp2i,4
nicaragua,2
insane,2
alerts,6
tossing,39
reality,6
role,3
//t.co/csescxkgwx,2
bailout,2
scored,2
picture,2
juicer,4
welcome,2
update,2
journey,3
nods,16
uneaten,2
billion,15
longer,43
potato,5
//t.co/xbmvuujsaf,7
together,5
uncovered,4
foodindustry,2
future500,5
time,25
serious,112
//t.co/bsenxdbse4,4
skip,2
global,51
wastedfood,7
grateful,3
//t.co/k3a3n0afkh,15
chair,2
recessbeforelunch,8
yummy,2
ukbusinessrt,10
april,4
santel,3
environment,8
veg,31
finally,2
feeding9billion,4
simmer,5
applauding,6
//t.co/iwpuvpx8po,2
vegan,6
energystorage,2
cook,12
//t.co/45zzu4mm67,6
minute,4
cool,6
//t.co/olrhmzotru,11
impressive,2
level,4
alternet,2
peeps,2
lovefoodhatewaste,9
team,6
quick,2
'feeding,2
ludobok,10
prevent,25
talked,3
says,7
//t.co/glsz9fmjky,2
bravo,5
sign,27
cost,24
wastemanagement,4
29403317,7
run,2
rollingstone,6
dutchovening,2
shares,2
stopfoodwaste,9
peels,2
goes,11
processing,2
guardian,5
learn,13
shout-out,4
waitrose,2
water,15
address,34
terrawellington,2
change,18
box,3
hbo,24
brilliant,20
shift,2
stomachs,2
sustainableli,2
nitty,2
beautiful,2
love,76
humour,2
extra,2
abdelsalamzayed,2
1st,8
embarrassing,2
//t.co/twzlmecsnv,3
afterlife,3
working,12
grundonrecycle,2
france,6
smrtgrls,3
australian,2
today,22
loving,4
introducing,5
sharing,6
distribution,2
//t.co/sqta7ajwy6,8
//t.co/gpvhhsxf8e,2
effort,2
//t.co/iipl,14
edible,21
cap,4
values,3
//t.co/ktq8s5htfg,2
growing,3
making,8
http:,17
crazy,4
nexus,3
expanding,3
awesome,9
sense,4
leahmcgrathrd,3
topic,4
heard,2
savefood,43
thrilled,2
o,2
northbaynews,2
production,3
234,3
occur,2
doesnt=,4
swedish,5
discussion,5
watching,6
freezer,7
1,10
sunday,3
//t.co/atfxqunwte,3
nyc,2
govegan,9
fareshareuk,19
may,4
//t.co/zhvbsjmsb4,2
sustainability,43
heartbreaking,9
produce,165
date,25
waste,358
heroes,2
//t.co/y5jjhvjfuk,2
grow,4
man,3
realpigfarming,9
//t.co/lurplbs24v,3
//t.co/ryiv62hz,27
80,2
talk,11
//t.co/mop96wub7s,39
iexpo2015,2
unacceptable,5
cuts,3
epic,2
still,11
avid,2
thank,21
interesting,5
foodfighthunger,3
amazing,31
continue,2
celebrate,8
//t.co/psv9tqh3t1,5
policy,7
civileats,79
petition,10
views,3
recipes,90
sarcastic,2
half,9
skewered,5
discuss,2
dinnerexchangee,5
eugreencard,26
sainsburysnews,4
reverb,7
nrdc,20
challenged,3
